NCTId,BriefTitle,EligibilityCriteria,BriefSummary,Conditions,Interventions,PrimaryOutcomes,TrialGroup,API_BaselineMeasures,API_BaselineMeasures_Corrected
NCT04554394,CellFX System for the Treatment of Cutaneous Non-Genital Warts,"Inclusion Criteria:

* Subjects must be at least 21 and not older than 80 years of age
* Subjects must be able to read and speak English or Spanish
* Subjects must sign a written informed consent to participate in the study, prior to any study related procedures
* Subject must have a minimum of two cutaneous non-genital warts, each not exceeding 10 x 10mm
* Subject is willing to undergo all study-mandated procedures
* Subject agrees to refrain from using all other wart removal products or treatments (topical medication including over-the-counter medications) during the study period

Exclusion Criteria:

* Subject has an implantable electronic medical device. (pacemaker, implantable cardioverter defibrillator, etc.)
* Subject has cochlear implants
* Subject has an active systemic infection or history of an infection in the designated treatment area within 90 days of enrollment
* Subject has a history of and/or current tinnitus
* Subject is known to be immune-compromised
* Subject is taking a blood thinning medication (Antiplatelet, Anticoagulation, Factor Xa Inhibitor, etc.)
* Subject has Type 1 Diabetes and is insulin dependent
* Subject has a known allergy to Lidocaine or Lidocaine-like products
* Subject is a member of a vulnerable population including individuals employed by the Sponsor, clinic site, or entity associated with the conduct of the study
* Subject has a comorbidity or condition which may reduce compliance with this protocol, including follow-up visits
* Subject is participating in another research study involving an investigational agent (pharmaceutical, biologic, or medical device)","This prospective, non-randomized, multicenter pivotal study is designed to evaluate the safety and effectiveness of the CellFX System in patients with cutaneous non-genital warts on all areas of the body, excluding the face.","Warts, Warts Hand, Verruca, ","CellFX Device, ","Percentage of Verrucae Cleared, ",cancer,"Age, Continuous, Sex: Female, Male, Race (NIH/OMB), Region of Enrollment, Fitzpatrick Skin Type, Verrucae Disposition, Wart Subtype, Anatomic Location, History of Prior Verrucae Treatment, ","`Age, Continuous`, `Sex: Female, Male`, `Race (NIH/OMB)`, `Region of Enrollment`, `Fitzpatrick Skin Type`, `Verrucae Disposition`, `Wart Subtype`, `Anatomic Location`, `History of Prior Verrucae Treatment`, "
NCT02000427,Blinatumomab in Adults With Relapsed/Refractory Philadelphia Positive B-precursor Acute Lymphoblastic Leukemia,"Inclusion Criteria

* Patients with Ph+ B-precursor ALL, with any of the following:

  * Relapsed or refractory to at least one second generation tyrosine kinase inhibitor (TKI) (dasatinib, nilotinib, bosutinib, ponatinib)
  * OR intolerant to second generation TKI and intolerant or refractory to imatinib mesylate
* Greater than 5% blasts in bone marrow
* Eastern Cooperative Oncology Group (ECOG) performance status ≤ 2
* Age ≥ 18 years of age, at the time of informed consent.
* Subject has provided informed consent or subject's legally acceptable representative has provided informed consent when the subject has any kind of condition that, in the opinion of the Investigator, may compromise the ability of the subject to give written informed consent.

Exclusion Criteria

* History of malignancy other than ALL within 5 years prior to start of protocol-required therapy, except for adequately treated selected cancers without evidence of disease
* History or presence of clinically relevant central nervous system (CNS) pathology as epilepsy, childhood or adult seizure, paresis, aphasia, stroke, severe brain injuries, dementia, Parkinson's disease, cerebellar disease, organic brain syndrome, psychosis
* Active ALL in the CNS or testes
* Isolated extramedullary disease
* Current autoimmune disease or history of autoimmune disease with potential CNS involvement
* Allogeneic hematopoietic stem cell transplantation (HSCT) within 12 weeks before blinatumomab treatment
* Active acute or extensive chronic graft-versus-host disease (GvHD) which included the administration of immunosuppressive agents to prevent or treat GvHD within 2 weeks before blinatumomab treatment
* immediately previous cancer chemotherapy, radiotherapy, or immunotherapy; and eligibility for allogeneic HSCT at the time of enrollment.",The primary objective is to evaluate the rate of complete remission/complete remission with partial hematological recovery (CRh\*) in adults with relapsed/refractory Philadelphia chromosome positive (Ph+) B-precursor acute lymphoblastic leukemia (ALL) who receive blinatumomab.,"Relapsed/Refractory Philadelphia Positive B-precursor ALL, ","Blinatumomab, ","Percentage of Participants With Complete Remission/Complete Remission With Partial Hematological Recovery (CR/CRh*) During the First Two Treatment Cycles, ",cancer,"Age, Continuous, Age, Customized, Sex: Female, Male, Race/Ethnicity, Customized, Race/Ethnicity, Customized, Prior Tyrosine Kinase Inhibitor (TKI) Treatment, Number of Prior Relapses, Number of Prior Salvage Regimens, Prior Allogeneic Hematopoietic Stem Cell Transplantation (HSCT), Time From Initial Diagnosis, ","`Age, Continuous`, `Age, Customized`, `Sex: Female, Male`, `Race/Ethnicity, Customized`, `Race/Ethnicity, Customized`, `Prior Tyrosine Kinase Inhibitor (TKI) Treatment`, `Number of Prior Relapses`, `Number of Prior Salvage Regimens`, `Prior Allogeneic Hematopoietic Stem Cell Transplantation (HSCT)`, `Time From Initial Diagnosis`, "
NCT04010227,Telephone Support for Advanced Gastrointestinal Cancer Patients and Caregivers,"Patient Inclusion Criteria:

* Patient is at least 3 weeks post-diagnosis of unresectable stage III or stage IV gastrointestinal cancer (i.e., anal, colon, esophageal, gallbladder, liver, pancreatic, rectal, small intestine, or stomach cancer) and is receiving care at the Indiana University Simon Cancer Center or Eskenazi Health.
* Patient is at least 21 years of age.
* Patient can speak and read English.
* Patient has an eligible, consenting family caregiver (see criteria below).
* Patient has moderate to severe fatigue interference with functioning.

Patient Exclusion Criteria:

* Patient shows significant psychiatric or cognitive impairment that would preclude providing informed consent and study participation.
* Patient reports being able to do little activity on a functional status measure.
* Patient is receiving hospice care at screening.
* Patient does not have working phone service.
* Patient has hearing impairment that precludes participation.

Caregiver Inclusion Criteria:

* Family caregiver identified by a stage IV gastrointestinal cancer patient who meets the eligibility criteria.
* Caregiver has significant caregiving burden or distress
* Caregiver lives with the patient or has visited the patient in-person at least twice a week for the past month.
* Caregiver is at least 18 years of age.
* Caregiver can speak and read English.

Caregiver Exclusion Criteria:

* Caregiver shows significant psychiatric or cognitive impairment that would preclude providing informed consent and study participation.
* Caregiver does not have working phone service.
* Caregiver has hearing impairment that precludes participation.
* Patient declines study participation.","This trial tests telephone-based Acceptance and Commitment Therapy (ACT), a type of psychotherapy, to reduce fatigue interference with activities, mood, and cognition in advanced gastrointestinal (GI) cancer patients and family caregiver burden. ACT includes mindfulness exercises (e.g., meditations, performing activities with greater awareness), identifying personal values (e.g., family, spirituality), and engaging in activities consistent with these values. A total of 40 patient-caregiver dyads were randomly assigned in equal numbers to either the ACT intervention or an education/support condition. Dyads in both conditions participated in six weekly 50-minute telephone sessions. Outcomes were assessed at baseline, 2 weeks post-intervention, and 3 months post-intervention. The investigators hypothesize that ACT will lead to improved primary and secondary outcomes as compared to education/support. Study findings will inform a large-scale trial of intervention efficacy.","Gastrointestinal Neoplasms, ","Acceptance and Commitment Therapy, Education/Support, ","Fatigue Interference Subscale of Fatigue Symptom Inventory, Short-form of Zarit Burden Interview, ",cancer,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Fatigue Interference Subscale of Fatigue Symptom Inventory, Short-Form of Zarit Burden Interview, Education, Household income, Caregiver's relationship to the patient, Caregiver lives with the patient, Type of gastrointestinal cancer, Time since gastrointestinal cancer diagnosis, Chemotherapy, Radiation, Chemoradiation, Surgery to remove primary tumor, Surgery to remove metastases, Targeted Therapy, ","`Age, Continuous`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Fatigue Interference Subscale of Fatigue Symptom Inventory`, `Short-Form of Zarit Burden Interview`, `Education`, `Household income`, `Caregiver's relationship to the patient`, `Caregiver lives with the patient`, `Type of gastrointestinal cancer`, `Time since gastrointestinal cancer diagnosis`, `Chemotherapy`, `Radiation`, `Chemoradiation`, `Surgery to remove primary tumor`, `Surgery to remove metastases`, `Targeted Therapy`, "
NCT00191789,Neoadjuvant Sequential Administration of Two Gemcitabine Combinations in Operable Breast Cancer,"Inclusion Criteria:

* Diagnosis of breast carcinoma
* No previous chemotherapy, with bidimensionally measurable locally advanced disease
* Adequate performance status (Karnofsky Performance Status \[KPS\] greater than or equal to 70), bone marrow reserves, hepatic, cardiac and renal functions.

Exclusion Criteria:

* Inflammatory breast cancer
* Pregnancy and Breast-feeding
* Serious concomitant disorder or infection
* Previous cancer within the last 5 years or a second primary malignancy.","Gemcitabine and anthracycline combination has shown encouraging activity as neoadjuvant chemotherapy in locally advanced breast cancer. An addition of sequential gemcitabine and cisplatin, also a highly active combination in this indication, may result in improvement in pathological response and overall survival. Patients with operable breast cancer will be treated in neoadjuvant setting with gemcitabine plus doxorubicin, followed by gemcitabine plus cisplatin.","Breast Cancer, ","gemcitabine, doxorubicin, cisplatin, surgery, ","Number of Patients With Pathological Complete Response (Pathological Complete Response Rate), ",cancer,"Age Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Region of Enrollment, Diagnosis, Disease Stage, Hormone Receptor Status, Human Epidermal Growth Factor Receptor 2 (HER-2) Status, Karnofsky Performance Status Scale, Menopausal Status, Body Surface Area, Height, Largest Lesion Size, Weight, ","`Age Continuous`, `Sex: Female, Male`, `Race/Ethnicity, Customized`, `Region of Enrollment`, `Diagnosis`, `Disease Stage`, `Hormone Receptor Status`, `Human Epidermal Growth Factor Receptor 2 (HER-2) Status`, `Karnofsky Performance Status Scale`, `Menopausal Status`, `Body Surface Area`, `Height`, `Largest Lesion Size`, `Weight`, "
NCT00988208,Study to Evaluate Safety and Effectiveness of Lenalidomide in Combination With Docetaxel and Prednisone for Patients With Castrate-Resistant Prostate Cancer,"Inclusion Criteria:

1. Must sign an Informed Consent Form (ICF)
2. Males ≥ 18 years of age
3. Able to adhere to the study visit schedule and requirements of the protocol
4. Eastern Cooperative Oncology Group (ECOG) performance status of ≤ 2
5. Life expectancy of ≥ 12 weeks
6. Willingness to participate in Patient-Reported Outcomes assessments
7. Serum testosterone levels \< 50 ng/dL
8. Confirmed metastatic adenocarcinoma of the prostate that is unresponsive or refractory to hormonal therapy
9. Have documented disease progression while receiving or following hormonal therapy as determined by increasing Serum Prostate Specific Antigen (PSA) level, Radiological Progression, or ≥2 new bone lesions
10. Subjects must agree to receive counseling related to pregnancy precautions, teratogenic and other risks of lenalidomide
11. Refrain from donating blood or semen as defined by protocol

Exclusion Criteria:

1. A history of clinically significant disease that places subject at an unacceptable risk for study entry
2. Prior Therapy with thalidomide, lenalidomide or pomalidomide
3. Prior chemotherapy for prostate cancer
4. Use of any other experimental drug or therapy within 28 days prior to randomization
5. Prior radiation to ≥ 30% of bone marrow or any radiation therapy within 28 days prior to randomization
6. Prior use of Strontium-89 at any time or Samarium-153 within 56 days prior to randomization
7. Surgery within 28 days prior to randomization
8. Concurrent anti-androgen therapy
9. Abnormal serum chemistry or hematology laboratory values
10. Significant active cardiac disease within the previous 6 months:
11. Thrombotic or thromboembolic events within the past 6 months:
12. History of peripheral neuropathy of ≥grade 2
13. History of severe hypersensitivity reaction to drugs formulated with polysorbate 80
14. Paraplegia
15. History of Central nervous system (CNS) or brain metastases
16. History of malignancies other than prostate cancer within the past 5 years, with the exception of treated basal cell/squamous cell carcinoma of the skin
17. Concurrent use of alternative cancer therapies","The purpose of the study is to determine whether lenalidomide is safe and effective for use in combination with docetaxel and prednisone for the treatment of subjects with metastatic Castrate-Resistant Prostate Cancer.

The addition of lenalidomide to docetaxel and prednisone is proposed to increase the life expectancy of these subjects.","Prostate Cancer, ","Lenalidomide, Docetaxel, Prednisone, Placebo, ","Overall Survival (OS), ",cancer,"Age, Continuous, Age, Customized, Sex/Gender, Customized, Region of Enrollment, Race, Customized, Weight, Height, Body Mass Index, Body Mass Index, Categorical, ECOG Performance Status, Type of Disease Progression, Prior Radiotherapy, Prior Cancer Surgery, Other Prior Anti-Cancer Therapy, Baseline PSA (Prostate Specific Antigen) Levels, Metastatic Sites of Disease Outside of Prostate, ","`Age, Continuous`, `Age, Customized`, `Sex/Gender, Customized`, `Region of Enrollment`, `Race, Customized`, `Weight`, `Height`, `Body Mass Index`, `Body Mass Index, Categorical`, `ECOG Performance Status`, `Type of Disease Progression`, `Prior Radiotherapy`, `Prior Cancer Surgery`, `Other Prior Anti-Cancer Therapy`, `Baseline PSA (Prostate Specific Antigen) Levels`, `Metastatic Sites of Disease Outside of Prostate`, "
NCT04465162,Radiation Therapy Alone for the Treatment of Stage 1 and 2 Mucosa-Associated Lymphoid Tissue (MALT) Lymphoma,"Inclusion Criteria:

* Patients with newly diagnosed stage 1 and 2 MALT lymphoma are eligible for this study
* Patients with Helicobacter (H.) pylori positive gastric MALT lymphoma are recommended to have treatments with antibiotics prior to enrollment to this protocol
* Patients who failed other treatment modalities (e.g. chemotherapy, antibiotics therapy etc) are also eligible as far as they never had stage 3 or 4 disease during the course of the disease or disease progression to the opposite side of the diaphragm (as the time course of the response to antibiotic therapy can be very variable among patients, sometimes requiring more than one year for complete response, failure to antibiotic therapy can be very variable among patients, sometimes requiring more than one year for complete response, failure to antibiotic treatment will be defined as no response or progression of the disease documented by endoscopy and biopsy)
* Patients who have had stage 4 diseases due to bilateral parotid gland or ocular/ocular adnexal involvement or due to multiple sites within Waldeyer's ring will still be eligible

Exclusion Criteria:

* Patients who had previous radiation dose to the site of the current primary disease which would lead to violation of known radiation tolerance limit of that particular site if treated again
* Patients with MALT lymphoma of the skin whose lesions are separated by more than 5 cm will be ineligible
* Previous or concurrent malignancy in any form would not be an exclusion criterion. However, patients who receive chemotherapy for concurrent malignancy will be excluded from statistical analysis
* Low blood cell counts would not be exclusion criteria as far as the patient is willing to accept supportive measures such as transfusions, filgrastim and epoetin","This trial studies the side effects of radiation therapy used alone, and if it can achieve a high cure rate in the treatment of patients with MALT lymphoma. Radiation therapy uses high energy sources to kill cancer cells and shrink tumors. This treatment may improve the patient's lymphoma.","Ann Arbor Stage I Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue, Ann Arbor Stage II Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue, Extranodal Marginal Zone Lymphoma, ","Radiation Therapy, ","Relapse-free Survival (RFS), ",cancer,"Age, Continuous, Sex: Female, Male, Race and Ethnicity Not Collected, Region of Enrollment, Clinical Stage, Tumor Location, Helicobacter pylori positive at initial diagnosis, Treatment before radiation therapy, Radiation dose, Gy, ","`Age, Continuous`, `Sex: Female, Male`, `Race and Ethnicity Not Collected`, `Region of Enrollment`, `Clinical Stage`, `Tumor Location`, `Helicobacter pylori positive at initial diagnosis`, `Treatment before radiation therapy`, `Radiation dose, Gy`, "
NCT04205955,Testing Diet Intervention Versus Non-Diet Intervention for Management of Bowel Symptoms in Rectal Cancer Survivors,"Inclusion Criteria:

* PRIOR TO STEP 1 REGISTRATION:
* Patients must have prior history of rectosigmoid colon cancer or rectal cancer
* Patients must have a post-surgical permanent ostomy or anastomosis
* Patient's last date of treatment for rectal cancer (any surgery, chemotherapy, radiation therapy) must be at least 6 months prior to registration and not more than 24 months prior to registration
* Anastomosis patients must have low anterior resection syndrome (LARS) score of 21-42 (minor to major symptoms) within 5 calendar days prior to registration
* Patient must have completed all baseline questionnaires within 5 days prior to registration
* Patients must be able to read, write and speak English. Study materials and telephone calls are only available in English
* Patients with a prior malignancy or concurrent malignancy that is currently not being treated, whose natural history or treatment (in the opinion of the treating physician) does not have the potential to interfere with the safety or efficacy assessment of the investigational regimen are eligible for this trial
* Patients who are currently undergoing treatment for another cancer will have a different symptom profile than what this study is targeting and are not eligible
* Patients who have been diagnosed with inflammatory bowel disease (IBD), such as ulcerative colitis or Crohn's disease, are not eligible
* PRIOR TO STEP 2 REGISTRATION:
* Patient must meet all eligibility criteria for step 1
* Patient must have successfully completed (""pass"") the run-in period, as per email notification from the University of Arizona
* Patient must be registered to step 2 no more than 40 days after step 1 registration. If day 40 falls on a weekend or holiday, the limit may be extended to the next working day
* Patients must be informed of the investigational nature of this study and must sign and give written informed consent in accordance with institutional and federal guidelines
* As a part of the Oncology Patient Enrollment Network (OPEN) registration process the treating institution's identity is provided in order to ensure that the current (within 365 days) date of institutional review board approval for this study has been entered in the system","This phase II trial studies how a diet intervention works in improving bowel dysfunction symptoms related in colon or rectal cancer survivors. Changing a diet may be helpful in reducing the severity of bowel symptoms, including diarrhea and constipation, and improve quality of life in colon or rectal cancer survivors and help doctors learn how to help patients better in the future.","Rectal Carcinoma, Rectosigmoid Carcinoma, ","Best Practice, Dietary Intervention, Message, Quality-of-Life Assessment, Questionnaire Administration, ","Bowel Function, ",cancer,"Age, Continuous, Sex: Female, Male, Race/Ethnicity, Customized, Ethnicity, Highest Level of Education, Body Mass Index (BMI), Body Mass Index (BMI), Smoking Status, Current Marital Status, Any Change in Marital Status Since Diagnosis, Adjusted Diet because of Surgery/ostomy, Time to Comfort with Diet after your Surgery/ostomy, Time Since Diagnosis, Type of Cancer, Prior Treatment: Chemotherapy, Prior Treatment: Radiation Therapy, Prior Surgery: Anastomosis, Prior Surgery: Ostomy, Prior Surgery: Temporary Ostomy and Re-anastomosis, Time Since Surgery, Type of Low Anterior Resection Surgery, LAR Syndrome (LARS) Burden, Zubrod Performance Status, Current Medication: Antibiotics, Current Medication: Antidiarrheal Medications, Current Medication: Medication for Constipation, Current Medication: Probiotics, Used Alternative Therapies for Bowel Issues in Past 5 Months, AJCC clinical stage at diagnosis: T Stage, AJCC Clinical Stage at Diagnosis: N Stage, AJCC Clinical Stage at Diagnosis: M Stage, ","`Age, Continuous`, `Sex: Female, Male`, `Race/Ethnicity, Customized`, `Ethnicity`, `Highest Level of Education`, `Body Mass Index (BMI)`, `Body Mass Index (BMI)`, `Smoking Status`, `Current Marital Status`, `Any Change in Marital Status Since Diagnosis`, `Adjusted Diet because of Surgery/ostomy`, `Time to Comfort with Diet after your Surgery/ostomy`, `Time Since Diagnosis`, `Type of Cancer`, `Prior Treatment: Chemotherapy`, `Prior Treatment: Radiation Therapy`, `Prior Surgery: Anastomosis`, `Prior Surgery: Ostomy`, `Prior Surgery: Temporary Ostomy and Re-anastomosis`, `Time Since Surgery`, `Type of Low Anterior Resection Surgery`, `LAR Syndrome (LARS) Burden`, `Zubrod Performance Status`, `Current Medication: Antibiotics`, `Current Medication: Antidiarrheal Medications`, `Current Medication: Medication for Constipation`, `Current Medication: Probiotics`, `Used Alternative Therapies for Bowel Issues in Past 5 Months`, `AJCC clinical stage at diagnosis: T Stage`, `AJCC Clinical Stage at Diagnosis: N Stage`, `AJCC Clinical Stage at Diagnosis: M Stage`, "
NCT00409565,A Phase II Trial of Cetuximab and Bevacizumab in Patients With Recurrent or Metastatic Head and Neck Cancer,"Eligibility Criteria

Patients must have histologically or cytologically confirmed Squamous Cell Cancer of the Head and Neck either (a) metastatic (i.e. American Joint Committee on Cancer Staging System, 6th edition, stage IVC) or (b) recurrent, judged incurable by surgery or radiation.

Patients must have measurable disease, defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded) as \>20 mm with conventional techniques or as \>10 mm with CT scan). RECIST criteria will be used (see section 9).

Therapeutic history in conformance with the following:

No more than one prior adjuvant/neoadjuvant chemotherapy and/or concomitant chemoradiotherapy regimen that may have included biologic/targeted agent.

No more than one prior regimen (chemotherapy or biologic/targeted) for recurrent/metastatic disease

ECOG performance status of 0-2 (Karnofsky \> 60%; see Appendix A).

Patients must have normal organ and marrow function as defined below:

absolute neutrophil count \> 1,000/L platelets \> 75,000/L total bilirubin within normal institutional limits

AST(SGOT)/ALT(SGPT) 5 X institutional upper limit of normal creatinine within normal institutional limits

OR

creatinine clearance \> 60 mL/min/1.73 m2 for patients with creatinine levels above institutional normal

Urine protein should be screened by urine analysis for Urine Protein Creatinine (UPC) ratio (see Appendix). For UPC ratio \> 0.5, 24-hour urine protein should be obtained and the level should be \<1000 mg for patient enrollment.

Note: UPC ratio of spot urine is an estimation of the 24 urine protein excretion - a UPC ratio of 1 is roughly equivalent to a 24-hour urine protein of 1 gm. UPC ratio is calculated using on of the following formula:

\[urine protein\]/\[urine creatinine\] - if both protein and creatinine are reported in mg/Dl \[(urine protein) x0.088\]/\[urine creatinine\] - if urine creatinine is reported in mmol/L

All patients should have baseline tumor tissue available for EGFR determination (therapeutic target of cetuximab) and biomarker studies. Patients without available tissue at baseline may undergo tumor biopsy. Patients who provide consent and have accessible tumors will have a repeat biopsy 14 days (an interval between 12-16 days is acceptable) post initiation of therapy. Priority for study entry will be given to patients with easily accessible tumor and who consent to repeat biopsy. Study entry will not be restricted to patients who agree to further biopsies. If a patient enrolls on study and later refuses biopsy (excluding diagnostic), he/she may remain on study.

No prior treatment with cetuximab or bevacizumab or other EGFR or VEGF targeting agents.

Patients should not have had chemotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) and biologic/targeted agents within 3 weeks. At least 3 months should have elapsed after prior therapy with monoclonal antibodies.

At least 3 weeks should have elapsed from prior radiotherapy.

Patients must have no history of gross hemoptysis (defined as bright red blood of a ½ teaspoon or more) or coagulopathy. Patients with history of major tumor-related bleeding that is not controlled despite locoregional treatment or at high risk of recurrent tumor-related bleeding will be excluded.

Patients should not have a history of thrombosis (e.g. pulmonary embolism or deep venous thrombosis) and should not be on therapeutic anticoagulation (prophylactic use of warfarin 1 mg per day is allowed) and INR should be less than 1.5 at registration.

Patients with history of hypertension must be well-controlled (≤150/100) on a stable regimen of anti-hypertensive therapy.

Patients with tumors that invaded major vessels (e.g. the carotid) as shown unequivocally by imaging studies will be excluded due to the possibility of increased risk for tumor bleeding with bevacizumab therapy.

No major surgical procedure, open biopsy, or significant traumatic injury within 28 days prior to study enrollment, or anticipation of need for major surgical procedure during the course of the study. No history of abdominal fistula, gastrointestinal perforation, or intra-abdominal abscess within 28 days prior to registration. No serious non-healing wound, ulcer, or bone fracture.

No unstable angina or myocardial infarction within the previous 6 months; no uncontrolled hypertension; no symptomatic congestive heart failure; no serious cardiac arrhythmia requiring medication; no clinically significant peripheral vascular disease; no history of any CNS cerebrovascular ischemia or stroke within the last 6 months; no active serious infection.

No other coexisting medical condition that would preclude full compliance with the study.

Patients may not be receiving any other investigational agents.

Patients with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because of increased risks with bevacizumab.

Patients should not have a history of prior severe infusion reaction to a monoclonal antibody. Patients with known hypersensitivity of Chinese hamster ovary cell products or other recombinant human antibodies.

No history of prior malignancy, with the exception of curatively treated squamous cell or basal carcinoma of the skin or in situ cervical cancer, unless there is a 3-year disease-free interval.

Age \> 18 years. Because no dosing or adverse event data are currently available on the use of cetuximab and bevacizumab in patients \<18 years of age, children are excluded from this study but will be eligible for future pediatric single-agent trials, if applicable.

Ability to understand and the willingness to sign a written informed consent document.

Pregnant women are excluded from this study because cetuximab and bevacizumab have the potential for teratogenic or abortifacient effects. Because there is an unknown but potential risk for adverse events in nursing infants secondary to treatment of the mother with cetuximab and bevacizumab, breastfeeding should be discontinued if the mother is treated with cetuximab and bevacizumab. The effects of cetuximab and bevacizumab on the developing human fetus at the recommended therapeutic dose are unknown. For this reason women of child-bearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control) prior to study entry and for the duration of study participation. Should a woman become pregnant or suspect she is pregnant while in this study, she should inform her treating physician immediately.

HIV-positive patients receiving combination anti-retroviral therapy are excluded from the study because of possible drug interactions with cetuximab and bevacizumab. Appropriate studies will be undertaken in patients receiving combination anti-retroviral therapy when indicated.

Inclusion of Women and Minorities

Both men and women and members of all ethnic groups are eligible for this trial. The proposed study population is illustrated in the table below.

Inclusion of Women in Plan: The gender distribution of our head and neck cancer patients is detailed in the table below. All efforts are made to recruit women patients with head and neck cancer to the University of Pittsburgh Medical Center.","The purpose of this study is to determine if the combination of two new drugs, cetuximab (Erbitux) and bevacizumab (Avastin) can increase the effectiveness of treatment for head and neck cancer. Cetuximab has recently been approved by the FDA for head and neck cancer (that is locally or regionally advanced) when used in combination with radiation therapy. Cetuximab is also approved by the FDA for the treatment of colorectal cancer","Head and Neck Cancer, Squamous Cell Carcinoma, ","Cetuximab, Bevacizumab, ","Objective Response Rate (ORR), ",cancer,"Age, Continuous, Sex: Female, Male, Ethnicity (NIH/OMB), Race (NIH/OMB), Region of Enrollment, Primary disease site, Recurrent disease, Prior radiation, Prior surgery, Prior chemotherapy, Eastern Cooperative Oncology Group (ECOG) Performance Status, ","`Age, Continuous`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race (NIH/OMB)`, `Region of Enrollment`, `Primary disease site`, `Recurrent disease`, `Prior radiation`, `Prior surgery`, `Prior chemotherapy`, `Eastern Cooperative Oncology Group (ECOG) Performance Status`, "
NCT00385580,Phase II Study of Dasatinib (BMS-354825) for Androgen-deprived Progressive Prostate Cancer,"Inclusion Criteria:

* males, 18 or older
* proven advanced prostate cancer
* documented metastatic disease
* rising PSA levels
* castrate levels of testosterone

Exclusion Criteria:

* symptomatic CNS (brain or spinal cord) metastasis
* medical condition which may increase the risk of toxicity
* any prior or ongoing anti-cancer medical therapy or immunotherapy for prostate cancer other than primary androgen deprivation agents
* unable to take oral medication","The purpose of this study is to learn if men with metastatic prostate cancer and rising Prostate Specific Antigen (PSA), who have been surgically castrated or are undergoing androgen deprivation with Luteinizing Hormone Releasing Hormone (LHRH) treatment, respond to dasatinib. The safety of this treatment will also be studied.","Prostate Cancer, ","dasatinib, dasatinib, ","Number of Participants With a Response, Percentage of Participants With a Response, ",cancer,"Age Continuous, Age, Customized, Sex: Female, Male, Ethnicity (NIH/OMB), Race/Ethnicity, Customized, Eastern Cooperative Oncology Group (ECOG)Performance Status (PS), Height continuous, Weight continuous, FACT Advanced Prostate Symptom Index (FAPSI) -8 Score from baseline, Urinary N-telopeptide (uNTx)Value from Baseline, Bone-specific Alkaline Phosphatase (BAP) Value from baseline, ","`Age Continuous`, `Age, Customized`, `Sex: Female, Male`, `Ethnicity (NIH/OMB)`, `Race/Ethnicity, Customized`, `Eastern Cooperative Oncology Group (ECOG)Performance Status (PS)`, `Height continuous`, `Weight continuous`, `FACT Advanced Prostate Symptom Index (FAPSI) -8 Score from baseline`, `Urinary N-telopeptide (uNTx)Value from Baseline`, `Bone-specific Alkaline Phosphatase (BAP) Value from baseline`, "
NCT00396591,AVE0005 (VEGF Trap) in Patients With Recurrent Symptomatic Malignant Ascites,"Participants that met the following criteria were eligible.

Inclusion Criteria:

* Symptomatic malignant ascites resulting from advanced ovarian epithelial cancer (including fallopian tube and primary peritoneal adenocarcinoma) that required at least 3 previous therapeutic paracenteses at a frequency of 1 to 4 paracenteses per month for management.
* Platinum resistant disease defined by relapse or progression of disease during or after treatment, or drug intolerance.
* Topotecan- and/or liposomal doxorubicin-resistant disease defined by relapse or progression of disease during or after treatment, or drug intolerance.

Exclusion Criteria:

* Peritoneovenous or other type of shunt that was placed for the management of ascites
* Prior treatment with a VEGF or VEGF receptor inhibitor
* Uncontrolled hypertension

The above information is not intended to contain all considerations relevant to participation in a clinical trial.","The primary objective of this study was to compare the time between paracenteses before and after administration of Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®) in ovarian cancer participants with symptomatic malignant ascites.

The secondary objectives were to further assess efficacy and safety of Aflibercept treatment, and the exploratory objectives were to assess pharmacokinetics, immunogenicity and health-related quality of life.","Ovarian Neoplasms, ","Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®), ","Percentage of Participants With a Repeat Paracentesis Response (RPR), ",cancer,"Age Continuous, Age, Customized, Sex: Female, Male, Race/Ethnicity, Customized, Primary tumor site - Ovaries, Time since initial cancer diagnosis, Histology, Histology grade, Prior anticancer surgeries,, Baseline interval of paracentesis, Eastern Cooperative Oncology Group (ECOG) performance status score, ","`Age Continuous`, `Age, Customized`, `Sex: Female, Male`, `Race/Ethnicity, Customized`, `Primary tumor site - Ovaries`, `Time since initial cancer diagnosis`, `Histology`, `Histology grade`, `Prior anticancer surgeries,`, `Baseline interval of paracentesis`, `Eastern Cooperative Oncology Group (ECOG) performance status score`, "
