NCTId,TrialGroup,Generation Model,Positive Hallucination,Negative Hallucination,Multi-match Hallucination,Correct Matches,Precision,Recall,F1
NCT01652729,diabetes,gpt4o_ts_gen_hal,0,1,0,7,0.7,0.5384615384615384,0.608695652173913
NCT01676220,diabetes,gpt4o_ts_gen_hal,0,0,0,6,1.0,0.5454545454545454,0.7058823529411764
NCT01686828,obesity,gpt4o_ts_gen_hal,1,0,0,8,0.2857142857142857,0.42105263157894735,0.3404255319148936
NCT01757847,obesity,gpt4o_ts_gen_hal,0,0,0,4,0.5714285714285714,0.3333333333333333,0.4210526315789474
NCT01760239,obesity,gpt4o_ts_gen_hal,0,0,0,5,0.5555555555555556,0.5,0.5263157894736842
NCT01767155,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.6,0.6,0.6
NCT01768637,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,7,0.6363636363636364,0.25,0.358974358974359
NCT01785849,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,7,0.7,0.4666666666666667,0.56
NCT01821352,obesity,gpt4o_ts_gen_hal,0,0,0,4,0.5,0.8,0.6153846153846154
NCT01862796,obesity,gpt4o_ts_gen_hal,0,0,1,8,0.4444444444444444,0.6153846153846154,0.5161290322580646
NCT01973972,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.3333333333333333,0.5,0.4
NCT01986881,diabetes,gpt4o_ts_gen_hal,0,0,0,10,0.5882352941176471,0.5,0.5405405405405405
NCT02003963,obesity,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.18518518518518517,0.2631578947368421
NCT02008682,diabetes,gpt4o_ts_gen_hal,0,0,0,6,0.5454545454545454,0.6666666666666666,0.6
NCT02038179,hypertension,gpt4o_ts_gen_hal,0,0,0,5,0.2631578947368421,1.0,0.4166666666666667
NCT02109029,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.5,0.7142857142857143,0.588235294117647
NCT02111980,hypertension,gpt4o_ts_gen_hal,0,0,0,2,0.2,0.25,0.22222222222222224
NCT02137512,diabetes,gpt4o_ts_gen_hal,0,0,0,6,0.46153846153846156,0.75,0.5714285714285714
NCT02214186,hypertension,gpt4o_ts_gen_hal,0,0,0,6,0.375,0.375,0.375
NCT02278471,hypertension,gpt4o_ts_gen_hal,0,0,0,11,0.34375,0.8461538461538461,0.4888888888888889
NCT02342639,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,9,0.9,0.6,0.7200000000000001
NCT02358668,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.5384615384615384,0.2413793103448276,0.3333333333333333
NCT02409329,diabetes,gpt4o_ts_gen_hal,0,0,0,9,0.6428571428571429,0.3103448275862069,0.4186046511627907
NCT02437084,diabetes,gpt4o_ts_gen_hal,0,0,0,3,0.3333333333333333,0.3,0.3157894736842105
NCT02473926,diabetes,gpt4o_ts_gen_hal,1,2,1,10,0.5263157894736842,0.625,0.5714285714285714
NCT02531035,diabetes,gpt4o_ts_gen_hal,0,0,0,8,1.0,0.5333333333333333,0.6956521739130436
NCT02572882,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,5,0.15151515151515152,0.7142857142857143,0.25
NCT02592421,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.625,0.5263157894736842
NCT02602496,obesity,gpt4o_ts_gen_hal,0,0,3,4,0.36363636363636365,0.5,0.4210526315789474
NCT02620774,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.45454545454545453,0.625,0.5263157894736842
NCT02623348,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,6,0.6666666666666666,0.3157894736842105,0.42857142857142855
NCT02643966,cancer,gpt4o_ts_gen_hal,0,0,0,8,0.8,0.7272727272727273,0.761904761904762
NCT02646982,hypertension,gpt4o_ts_gen_hal,0,0,2,10,0.7692307692307693,0.29411764705882354,0.4255319148936171
NCT02680574,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,6,0.75,0.6,0.6666666666666665
NCT02692040,diabetes,gpt4o_ts_gen_hal,0,0,0,6,0.4,0.8571428571428571,0.5454545454545455
NCT02692560,obesity,gpt4o_ts_gen_hal,0,0,0,4,0.4444444444444444,0.5,0.47058823529411764
NCT02698891,cancer,gpt4o_ts_gen_hal,0,0,0,6,0.2222222222222222,0.6,0.32432432432432434
NCT02738086,diabetes,gpt4o_ts_gen_hal,0,0,0,8,0.18181818181818182,0.8888888888888888,0.3018867924528302
NCT02776553,hypertension,gpt4o_ts_gen_hal,0,0,2,13,0.4482758620689655,0.4642857142857143,0.456140350877193
NCT02790437,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,4,0.4444444444444444,0.2857142857142857,0.34782608695652173
NCT02809183,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,7,0.7777777777777778,0.5,0.6086956521739131
NCT02833857,chronic kidney disease,gpt4o_ts_gen_hal,4,0,0,8,0.4444444444444444,0.4444444444444444,0.4444444444444444
NCT02834663,diabetes,gpt4o_ts_gen_hal,0,0,0,8,0.42105263157894735,1.0,0.5925925925925926
NCT02836873,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.7,0.4666666666666667,0.56
NCT02846779,diabetes,gpt4o_ts_gen_hal,0,0,0,5,0.38461538461538464,0.19230769230769232,0.2564102564102564
NCT02892149,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,8,0.8888888888888888,0.8888888888888888,0.8888888888888888
NCT03014479,diabetes,gpt4o_ts_gen_hal,0,0,0,4,0.4444444444444444,0.25,0.32
NCT03028948,cancer,gpt4o_ts_gen_hal,0,0,0,7,0.35,0.6363636363636364,0.45161290322580644
NCT03141905,chronic kidney disease,gpt4o_ts_gen_hal,0,0,4,5,0.38461538461538464,0.4166666666666667,0.4
NCT03195140,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.7777777777777778,0.5833333333333334,0.6666666666666666
NCT03210220,cancer,gpt4o_ts_gen_hal,1,0,0,1,0.1,0.3333333333333333,0.15384615384615383
NCT03223649,obesity,gpt4o_ts_gen_hal,0,0,0,8,0.47058823529411764,0.4444444444444444,0.45714285714285713
NCT03242252,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,8,0.6666666666666666,0.5333333333333333,0.5925925925925926
NCT03322631,diabetes,gpt4o_ts_gen_hal,0,0,0,7,0.7,1.0,0.8235294117647058
NCT03371108,diabetes,gpt4o_ts_gen_hal,0,0,0,11,0.28205128205128205,0.9166666666666666,0.4313725490196078
NCT03394027,cancer,gpt4o_ts_gen_hal,0,1,0,6,0.2222222222222222,1.0,0.3636363636363636
NCT03546270,hypertension,gpt4o_ts_gen_hal,1,1,0,6,0.6666666666666666,0.375,0.4800000000000001
NCT03674112,cancer,gpt4o_ts_gen_hal,0,0,0,5,0.5555555555555556,0.45454545454545453,0.5
NCT03675360,diabetes,gpt4o_ts_gen_hal,3,0,0,8,0.6153846153846154,0.34782608695652173,0.4444444444444444
NCT03708770,chronic kidney disease,gpt4o_ts_gen_hal,1,1,0,4,0.5714285714285714,0.4,0.47058823529411764
NCT03890588,chronic kidney disease,gpt4o_ts_gen_hal,0,0,0,8,0.8,0.8,0.8000000000000002
NCT03987919,diabetes,gpt4o_ts_gen_hal,0,0,0,4,0.6666666666666666,0.2857142857142857,0.4
NCT04392375,hypertension,gpt4o_ts_gen_hal,1,12,0,6,0.5454545454545454,0.2222222222222222,0.3157894736842105
NCT04823949,hypertension,gpt4o_ts_gen_hal,0,0,0,7,0.06930693069306931,0.6363636363636364,0.12500000000000003
NCT00126737,obesity,llama3_70b_it_ts_gen_hal,0,0,0,5,0.45454545454545453,0.4166666666666667,0.43478260869565216
NCT00283686,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,3,0.375,0.07894736842105263,0.13043478260869565
NCT00329030,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.7142857142857143,0.625,0.6666666666666666
NCT00360334,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,1.0,0.6666666666666666,0.8
NCT00395746,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,5,0.7142857142857143,1.0,0.8333333333333333
NCT00419562,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,0.5,0.6,0.5454545454545454
NCT00441064,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,6,0.6,0.46153846153846156,0.5217391304347826
NCT00490529,cancer,llama3_70b_it_ts_gen_hal,0,0,0,1,0.09090909090909091,0.125,0.10526315789473685
NCT00552409,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,5,0.4166666666666667,0.625,0.5
NCT00556933,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,7,0.6363636363636364,0.3181818181818182,0.4242424242424242
NCT00568178,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,4,0.5714285714285714,0.3333333333333333,0.4210526315789474
NCT00618072,obesity,llama3_70b_it_ts_gen_hal,0,0,0,10,0.7142857142857143,0.5555555555555556,0.6250000000000001
NCT00713830,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,11,0.5238095238095238,0.6875,0.5945945945945946
NCT00751114,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,12,1.0,0.5454545454545454,0.7058823529411764
NCT00781937,obesity,llama3_70b_it_ts_gen_hal,0,0,0,8,0.6153846153846154,1.0,0.761904761904762
NCT00791479,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,9,0.6923076923076923,0.9,0.7826086956521738
NCT00793455,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.7142857142857143,0.7142857142857143,0.7142857142857143
NCT00819182,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.625,0.25,0.35714285714285715
NCT00863746,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.38461538461538464,0.625,0.4761904761904762
NCT00896181,cancer,llama3_70b_it_ts_gen_hal,5,0,0,3,0.2,0.5,0.28571428571428575
NCT00917267,diabetes,llama3_70b_it_ts_gen_hal,1,2,0,6,0.8571428571428571,0.75,0.7999999999999999
NCT00949884,hypertension,llama3_70b_it_ts_gen_hal,1,1,0,5,0.4166666666666667,0.5555555555555556,0.4761904761904762
NCT00962247,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.3333333333333333,0.42857142857142855,0.375
NCT00967668,obesity,llama3_70b_it_ts_gen_hal,0,0,0,4,0.5,0.5,0.5
NCT01000480,cancer,llama3_70b_it_ts_gen_hal,0,0,0,4,0.4,0.5,0.4444444444444445
NCT01031680,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,1.0,0.35294117647058826,0.5217391304347826
NCT01101880,cancer,llama3_70b_it_ts_gen_hal,0,0,0,2,0.16666666666666666,0.25,0.2
NCT01279109,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.375,0.25,0.3
NCT01357551,obesity,llama3_70b_it_ts_gen_hal,7,0,0,6,0.375,0.3157894736842105,0.34285714285714286
NCT01435603,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7,0.4375,0.5384615384615384
NCT01441973,cancer,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7,0.6363636363636364,0.6666666666666666
NCT01484873,obesity,llama3_70b_it_ts_gen_hal,0,0,0,6,0.8571428571428571,0.5,0.631578947368421
NCT01496469,hypertension,llama3_70b_it_ts_gen_hal,0,1,0,9,0.6,0.6923076923076923,0.6428571428571429
NCT01574157,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,5,0.38461538461538464,0.22727272727272727,0.2857142857142857
NCT01592695,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.375,0.17647058823529413,0.24
NCT01621178,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,9,0.6923076923076923,0.6428571428571429,0.6666666666666666
NCT01652729,diabetes,llama3_70b_it_ts_gen_hal,1,1,0,6,0.35294117647058826,0.46153846153846156,0.4000000000000001
NCT01676220,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,1.0,0.5454545454545454,0.7058823529411764
NCT01686828,obesity,llama3_70b_it_ts_gen_hal,2,1,0,7,0.3684210526315789,0.3684210526315789,0.3684210526315789
NCT01757847,obesity,llama3_70b_it_ts_gen_hal,0,1,0,5,0.5555555555555556,0.4166666666666667,0.4761904761904762
NCT01760239,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.42857142857142855,0.3,0.3529411764705882
NCT01767155,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.45454545454545453,0.5,0.47619047619047616
NCT01768637,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7777777777777778,0.25,0.3783783783783784
NCT01785849,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7,0.4666666666666667,0.56
NCT01821352,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.5,0.6,0.5454545454545454
NCT01862796,obesity,llama3_70b_it_ts_gen_hal,0,0,0,7,0.3888888888888889,0.5384615384615384,0.45161290322580644
NCT01973972,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,4,0.2857142857142857,0.4,0.3333333333333333
NCT01986881,diabetes,llama3_70b_it_ts_gen_hal,0,0,4,12,0.6,0.6,0.6
NCT02003963,obesity,llama3_70b_it_ts_gen_hal,0,0,0,2,0.25,0.07407407407407407,0.11428571428571428
NCT02008682,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,0.42857142857142855,0.6666666666666666,0.5217391304347826
NCT02038179,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,5,0.3125,1.0,0.47619047619047616
NCT02109029,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,0.6,0.8571428571428571,0.7058823529411764
NCT02111980,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,2,0.11764705882352941,0.25,0.15999999999999998
NCT02137512,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,3,0.6,0.375,0.4615384615384615
NCT02214186,hypertension,llama3_70b_it_ts_gen_hal,2,1,0,7,0.3684210526315789,0.4375,0.39999999999999997
NCT02278471,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,11,0.5238095238095238,0.8461538461538461,0.6470588235294118
NCT02342639,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,5,0.4166666666666667,0.3333333333333333,0.3703703703703704
NCT02358668,diabetes,llama3_70b_it_ts_gen_hal,0,0,1,10,0.7142857142857143,0.3448275862068966,0.46511627906976755
NCT02409329,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,7,0.6363636363636364,0.2413793103448276,0.35
NCT02437084,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,3,0.375,0.3,0.33333333333333326
NCT02473926,diabetes,llama3_70b_it_ts_gen_hal,8,2,1,5,0.35714285714285715,0.3125,0.3333333333333333
NCT02531035,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,8,1.0,0.5333333333333333,0.6956521739130436
NCT02572882,chronic kidney disease,llama3_70b_it_ts_gen_hal,1,0,0,4,0.12903225806451613,0.5714285714285714,0.2105263157894737
NCT02592421,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,4,0.4,0.5,0.4444444444444445
NCT02602496,obesity,llama3_70b_it_ts_gen_hal,0,0,0,3,0.3,0.375,0.33333333333333326
NCT02620774,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,4,0.2222222222222222,0.5,0.30769230769230765
NCT02623348,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,5,0.7142857142857143,0.2631578947368421,0.3846153846153846
NCT02643966,cancer,llama3_70b_it_ts_gen_hal,0,0,0,4,0.5,0.36363636363636365,0.4210526315789474
NCT02646982,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,13,0.8666666666666667,0.38235294117647056,0.5306122448979592
NCT02680574,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,6,0.75,0.6,0.6666666666666665
NCT02692040,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,6,0.25,0.8571428571428571,0.3870967741935483
NCT02692560,obesity,llama3_70b_it_ts_gen_hal,0,0,0,4,0.5,0.5,0.5
NCT02698891,cancer,llama3_70b_it_ts_gen_hal,0,1,2,8,0.32,0.8,0.45714285714285713
NCT02738086,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,5,0.4166666666666667,0.5555555555555556,0.4761904761904762
NCT02776553,hypertension,llama3_70b_it_ts_gen_hal,0,0,5,12,0.5,0.42857142857142855,0.4615384615384615
NCT02790437,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,5,0.625,0.35714285714285715,0.45454545454545453
NCT02809183,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7777777777777778,0.5,0.6086956521739131
NCT02833857,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,8,0.6666666666666666,0.4444444444444444,0.5333333333333333
NCT02834663,diabetes,llama3_70b_it_ts_gen_hal,1,1,0,7,0.4117647058823529,0.875,0.56
NCT02836873,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7,0.4666666666666667,0.56
NCT02846779,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,4,0.4,0.15384615384615385,0.2222222222222222
NCT02892149,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7777777777777778,0.7777777777777778,0.7777777777777778
NCT03014479,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,5,0.5555555555555556,0.3125,0.39999999999999997
NCT03028948,cancer,llama3_70b_it_ts_gen_hal,0,0,0,7,0.3684210526315789,0.6363636363636364,0.4666666666666667
NCT03141905,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,3,4,0.4,0.3333333333333333,0.3636363636363636
NCT03195140,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,4,0.6666666666666666,0.3333333333333333,0.4444444444444444
NCT03210220,cancer,llama3_70b_it_ts_gen_hal,2,0,0,1,0.2,0.3333333333333333,0.25
NCT03223649,obesity,llama3_70b_it_ts_gen_hal,0,0,0,4,0.6666666666666666,0.2222222222222222,0.3333333333333333
NCT03242252,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,6,0.6,0.4,0.48
NCT03322631,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,7,0.7777777777777778,1.0,0.8750000000000001
NCT03371108,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,8,0.7272727272727273,0.6666666666666666,0.6956521739130435
NCT03394027,cancer,llama3_70b_it_ts_gen_hal,0,0,0,5,0.0684931506849315,0.8333333333333334,0.12658227848101267
NCT03546270,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,4,0.8,0.25,0.38095238095238093
NCT03674112,cancer,llama3_70b_it_ts_gen_hal,0,0,0,3,0.3333333333333333,0.2727272727272727,0.3
NCT03675360,diabetes,llama3_70b_it_ts_gen_hal,1,1,0,12,0.8571428571428571,0.5217391304347826,0.6486486486486486
NCT03708770,chronic kidney disease,llama3_70b_it_ts_gen_hal,1,1,0,6,0.75,0.6,0.6666666666666665
NCT03890588,chronic kidney disease,llama3_70b_it_ts_gen_hal,0,0,0,8,0.8,0.8,0.8000000000000002
NCT03987919,diabetes,llama3_70b_it_ts_gen_hal,0,0,0,8,0.8,0.5714285714285714,0.6666666666666666
NCT04392375,hypertension,llama3_70b_it_ts_gen_hal,0,0,0,8,0.5333333333333333,0.2962962962962963,0.38095238095238093
NCT04823949,hypertension,llama3_70b_it_ts_gen_hal,0,1,0,7,0.3181818181818182,0.6363636363636364,0.4242424242424242
